Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 79 ED: 019,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 019,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 019,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 019,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 019,,2021P2V1_ABS,Helen Hines,Rafael Salamanca Jr.,skipped,1,3
AD: 79 ED: 026,,2021P2V1_ABS,Helen Hines,Rafael Salamanca Jr.,skipped,1,3
AD: 79 ED: 026,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 026,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 026,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 026,,2021P2V1_ABS,Helen Hines,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Helen Hines,Rafael Salamanca Jr.,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Helen Hines,Rafael Salamanca Jr.,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Helen Hines,skipped,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Helen Hines,Rafael Salamanca Jr.,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,Helen Hines,skipped,1,3
AD: 79 ED: 015,,2021P2V1_ABS,Rafael Salamanca Jr.,skipped,skipped,1,3
