Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Kenya Handy-Hilliard,Cecilia Cortez,Victor Jordan,Edwin K. Raymond,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Kenya Handy-Hilliard,Josue Pierre,skipped,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Kenya Handy-Hilliard,skipped,skipped,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Victor Jordan,Vivia M. Morgan,Kenya Handy-Hilliard,John Williams,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Kenya Handy-Hilliard,skipped,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Cecilia Cortez,Kenya Handy-Hilliard,Josue Pierre,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Kenya Handy-Hilliard,Rita C. Joseph,Josue Pierre,Edwin K. Raymond,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Josue Pierre,Kenya Handy-Hilliard,Harriet L. Hines,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Josue Pierre,Kenya Handy-Hilliard,Rita C. Joseph,Harriet L. Hines,Vivia M. Morgan,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Kenya Handy-Hilliard,Blake Morris,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Kenya Handy-Hilliard,skipped,skipped,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,skipped,skipped,skipped,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Kenya Handy-Hilliard,Josue Pierre,Blake Morris,Rita C. Joseph,skipped,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Cecilia Cortez,John Williams,Victor Jordan,Harriet L. Hines,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,Josue Pierre,Edwin K. Raymond,Kenya Handy-Hilliard,Blake Morris,1,12
AD: 43 ED: 080,DEM ABS Ballot Style 7,2021P3V1_ABS,Rita C. Joseph,skipped,skipped,skipped,skipped,1,12
