Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Mamnun M. Haq,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Briget Rein,Douglas M. Schneider,Brandon West,Shahana K. Hanif,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Shahana K. Hanif,Brandon West,Douglas M. Schneider,Mamnun M. Haq,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Jessica Simmons,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Jessica Simmons,Shahana K. Hanif,Douglas M. Schneider,Mamnun M. Haq,Justin M. Krebs,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Briget Rein,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Mamnun M. Haq,Jessica Simmons,Briget Rein,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Douglas M. Schneider,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Brandon West,Shahana K. Hanif,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Mamnun M. Haq,Douglas M. Schneider,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Briget Rein,Mamnun M. Haq,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Briget Rein,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Briget Rein,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Briget Rein,Brandon West,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Briget Rein,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Briget Rein,Jessica Simmons,Brandon West,Mamnun M. Haq,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Mamnun M. Haq,Justin M. Krebs,Brandon West,Douglas M. Schneider,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Douglas M. Schneider,Justin M. Krebs,Shahana K. Hanif,skipped,1,8
AD: 52 ED: 098,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Justin M. Krebs,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Briget Rein,Brandon West,Douglas M. Schneider,Justin M. Krebs,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Brandon West,Shahana K. Hanif,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Justin M. Krebs,Shahana K. Hanif,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Brandon West,Shahana K. Hanif,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Brandon West,Briget Rein,Justin M. Krebs,Mamnun M. Haq,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Justin M. Krebs,Briget Rein,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Jessica Simmons,Brandon West,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Brandon West,Briget Rein,Justin M. Krebs,Mamnun M. Haq,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Justin M. Krebs,Mamnun M. Haq,Briget Rein,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Justin M. Krebs,Briget Rein,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Justin M. Krebs,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Mamnun M. Haq,Shahana K. Hanif,Jessica Simmons,Justin M. Krebs,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Mamnun M. Haq,skipped,skipped,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Brandon West,Shahana K. Hanif,skipped,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Briget Rein,Douglas M. Schneider,Justin M. Krebs,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Briget Rein,Mamnun M. Haq,Shahana K. Hanif,Justin M. Krebs,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Brandon West,Briget Rein,Douglas M. Schneider,skipped,1,8
AD: 52 ED: 058,DEM ABS Ballot Style 16,2021P3V1_ABS,Jessica Simmons,Justin M. Krebs,Briget Rein,Shahana K. Hanif,Brandon West,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Mamnun M. Haq,Justin M. Krebs,skipped,skipped,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Douglas M. Schneider,skipped,skipped,skipped,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Douglas M. Schneider,Mamnun M. Haq,Justin M. Krebs,Briget Rein,skipped,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Brandon West,Shahana K. Hanif,Briget Rein,Justin M. Krebs,Douglas M. Schneider,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Shahana K. Hanif,Jessica Simmons,Justin M. Krebs,skipped,skipped,1,8
AD: 52 ED: 072,DEM ABS Ballot Style 16,2021P3V1_ABS,Justin M. Krebs,Briget Rein,Douglas M. Schneider,skipped,skipped,1,8
