Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Christopher Marte,Jenny L. Low,Sean C. Hayes,Maud Maron,Denny R. Salas,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Susan Damplo,Christopher Marte,skipped,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Susan Lee,skipped,skipped,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Christopher Marte,Jenny L. Low,Tiffany Johnson-Winbush,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Gigi Li,Christopher Marte,skipped,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Gigi Li,skipped,skipped,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Jenny L. Low,Gigi Li,Christopher Marte,Susan Lee,Maud Maron,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Christopher Marte,Gigi Li,Jenny L. Low,skipped,skipped,1,10
AD: 65 ED: 063,DEM ABS Ballot Style 4,2021P1V1_ABS,Jenny L. Low,Gigi Li,Christopher Marte,Susan Lee,Maud Maron,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Gigi Li,Tiffany Johnson-Winbush,Susan Lee,Susan Damplo,Jenny L. Low,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Sean C. Hayes,Denny R. Salas,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Susan Lee,Tiffany Johnson-Winbush,Christopher Marte,Susan Damplo,Sean C. Hayes,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Gigi Li,Jenny L. Low,Christopher Marte,Sean C. Hayes,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Tiffany Johnson-Winbush,Susan Lee,Jenny L. Low,Denny R. Salas,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Maud Maron,Susan Damplo,Tiffany Johnson-Winbush,Susan Lee,Gigi Li,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Maud Maron,Susan Damplo,Tiffany Johnson-Winbush,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Susan Lee,Jenny L. Low,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Tiffany Johnson-Winbush,Denny R. Salas,Susan Damplo,Gigi Li,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Maud Maron,Susan Lee,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Maud Maron,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Susan Lee,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Maud Maron,Susan Lee,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Sean C. Hayes,Maud Maron,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Maud Maron,Christopher Marte,Tiffany Johnson-Winbush,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Maud Maron,Sean C. Hayes,Christopher Marte,Jenny L. Low,Gigi Li,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Tiffany Johnson-Winbush,Christopher Marte,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,Jenny L. Low,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Susan Damplo,Tiffany Johnson-Winbush,Christopher Marte,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Gigi Li,Christopher Marte,Susan Lee,Jenny L. Low,Denny R. Salas,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Christopher Marte,skipped,skipped,skipped,skipped,1,10
AD: 66 ED: 099,DEM ABS Ballot Style 1,2021P1V1_ABS,Maud Maron,Sean C. Hayes,Christopher Marte,Jenny L. Low,Gigi Li,1,10
