ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,Num cands,Num seats
40002_00001_000037,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000038,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Burke, Robyn ""Niayuq""",skipped,skipped,skipped,4,1
40002_00001_000020,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000010,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Burke, Robyn ""Niayuq""",skipped,skipped,skipped,4,1
40002_00001_000039,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000021,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Burke, Robyn ""Niayuq""","Baker, Thomas C. ""Ikaaq""",skipped,4,1
40002_00001_000015,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000042,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000022,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000005,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""","Chase, Saima ""Ikrik""",skipped,4,1
40002_00001_000043,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000023,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000011,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000024,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000007,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000044,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000025,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000018,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000026,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000014,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000027,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000002,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000041,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000028,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""","Chase, Saima ""Ikrik""",skipped,4,1
40002_00001_000009,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""","Chase, Saima ""Ikrik""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000029,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000013,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000040,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""",skipped,skipped,skipped,4,1
40002_00001_000030,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
40002_00001_000003,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""",skipped,4,1
40002_00001_000031,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Chase, Saima ""Ikrik""","Burke, Robyn ""Niayuq""","Baker, Thomas C. ""Ikaaq""",skipped,4,1
40002_00001_000008,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""","Chase, Saima ""Ikrik""",skipped,skipped,4,1
40002_00001_000032,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""","Chase, Saima ""Ikrik""",skipped,skipped,4,1
40002_00001_000004,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-002 Ambler,40-002 Ambler,Region IV,"Baker, Thomas C. ""Ikaaq""",skipped,skipped,skipped,4,1
