ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,Num cands,Num seats
91200_00013_000093,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000042,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000041,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000019,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000011,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000086,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000085,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000043,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000023,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000020,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000001,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000098,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000097,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000056,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000039,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000021,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000064,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000063,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000008,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000067,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000025,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000014,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000100,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000099,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000073,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000050,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000026,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
91200_00013_000016,Ballot 4 - Type 4,Absentee,Judicial 1,Judicial,District 3 - Absentee,District 3 - Absentee,Region I,"Kiehl, Jesse",skipped,2,1
