ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,Num cands,Num seats
92100_00015_000076,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Kohlhaas, Scott A.",skipped,skipped,3,1
92100_00015_000075,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Kohlhaas, Scott A.",skipped,skipped,3,1
92100_00015_000025,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Kohlhaas, Scott A.","Gray, Andrew T.",skipped,3,1
92100_00015_000024,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000020,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Kohlhaas, Scott A.",skipped,skipped,3,1
92100_00015_000019,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.","Kohlhaas, Scott A.",skipped,3,1
92100_00015_000013,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000093,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000054,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000053,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000021,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.",skipped,skipped,3,1
92100_00015_000012,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Gray, Andrew T.","Kohlhaas, Scott A.",skipped,3,1
