ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,Num cands,Num seats
95100_00037_000002,Ballot 27 - Type 27,Absentee,Judicial 3,Judicial,District 26 - Absentee,District 26 - Absentee,Region V,"Tilton, Cathy",skipped,2,1
92902_00000_976192_,Ballot 27 - Type 27,Early Voting,Judicial 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region II,"Tilton, Cathy",skipped,2,1
92902_00000_532425_,Ballot 27 - Type 27,Early Voting,Judicial 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region II,"Tilton, Cathy",skipped,2,1
92902_00000_432652_,Ballot 27 - Type 27,Early Voting,Judicial 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region II,"Tilton, Cathy",Write-in,2,1
92902_00000_371363_,Ballot 27 - Type 27,Early Voting,Judicial 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region II,"Tilton, Cathy",skipped,2,1
92902_00000_480167_,Ballot 27 - Type 27,Early Voting,Judicial 3,Judicial,District 26 - Early Voting,District 26 - Early Voting,Region II,"Tilton, Cathy",skipped,2,1
26370_00000_804880_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_800059_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_799386_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_793049_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_790518_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_789753_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_633970_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_628705_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_627164_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_476558_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_474964_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_474893_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_469009_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
26370_00000_336257_,Ballot 27 - Type 27,Election Day,Judicial 3,Judicial,26-370 Knik Goose Bay No. 3,26-370 Knik Goose Bay No. 3,Region V,"Tilton, Cathy",skipped,2,1
