ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,Num cands,Num seats
92100_00015_000076,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000075,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000025,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest","Smith, Cheronda L.",skipped,3,1
92100_00015_000024,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000020,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000019,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest","Smith, Cheronda L.",skipped,3,1
92100_00015_000013,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000093,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000054,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000053,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000040,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000021,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000012,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest","Smith, Cheronda L.",skipped,3,1
92100_00015_000070,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000069,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000044,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000022,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000001,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000068,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000067,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest","Smith, Cheronda L.",skipped,3,1
92100_00015_000043,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000023,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000002,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000078,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000077,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000047,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000026,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000003,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000080,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.","Dunbar, Forrest",skipped,3,1
92100_00015_000079,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000049,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000027,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000008,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000048,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000028,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Smith, Cheronda L.",skipped,skipped,3,1
92100_00015_000011,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000096,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
92100_00015_000095,Ballot 21 - Type 21,Absentee,Judicial 3,Judicial,District 20 - Absentee,District 20 - Absentee,Region II,"Dunbar, Forrest",skipped,skipped,3,1
