ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
38818_00001_000070,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000069,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000042,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000019,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000017,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000064,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000063,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000039,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.","Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,5,1
38818_00001_000020,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000005,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""","Keppel, Willy",skipped,skipped,skipped,5,1
38818_00001_000062,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000061,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.",skipped,skipped,skipped,skipped,5,1
38818_00001_000041,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000021,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000004,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000076,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.","Keppel, Willy",skipped,skipped,skipped,5,1
38818_00001_000075,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000046,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,Write-in,"Sosa, Victoria B.","Jimmie, Nellie D. ""Unangik""","McCormick, C.J.","Keppel, Willy",5,1
38818_00001_000022,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000008,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""","Sosa, Victoria B.","Keppel, Willy","McCormick, C.J.",skipped,5,1
38818_00001_000056,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000055,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000037,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.","Jimmie, Nellie D. ""Unangik""","Sosa, Victoria B.","Keppel, Willy",skipped,5,1
38818_00001_000023,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000002,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000074,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy","McCormick, C.J.","Jimmie, Nellie D. ""Unangik""","Sosa, Victoria B.",skipped,5,1
38818_00001_000073,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000044,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000024,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000011,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000072,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000071,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.","Keppel, Willy",skipped,skipped,skipped,5,1
38818_00001_000043,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""","Sosa, Victoria B.","McCormick, C.J.",skipped,skipped,5,1
38818_00001_000025,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.",skipped,skipped,skipped,skipped,5,1
38818_00001_000007,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy","Jimmie, Nellie D. ""Unangik""","Sosa, Victoria B.","McCormick, C.J.",skipped,5,1
38818_00001_000068,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000067,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy",skipped,skipped,skipped,skipped,5,1
38818_00001_000038,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Keppel, Willy","Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,5,1
38818_00001_000026,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, C.J.",skipped,skipped,skipped,skipped,5,1
38818_00001_000001,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
38818_00001_000058,Ballot 42 - Type 42,Election Day,Judicial 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"Jimmie, Nellie D. ""Unangik""",skipped,skipped,skipped,skipped,5,1
