ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,Num cands,Num seats
100011_00004_000006,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Park, Janice L.","Borbridge, Harold","Kaufman, James D.",skipped,4,1
100011_00004_000007,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Park, Janice L.","Kaufman, James D.","Borbridge, Harold",skipped,4,1
100011_00004_000005,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Kaufman, James D.",skipped,skipped,skipped,4,1
100011_00004_000004,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Kaufman, James D.",skipped,skipped,skipped,4,1
100011_00004_000003,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Park, Janice L.","Borbridge, Harold","Kaufman, James D.",skipped,4,1
100011_00004_000002,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-225 Hillside No. 5,11-225 Hillside No. 5,Director,"Kaufman, James D.",skipped,skipped,skipped,4,1
11220_00000_977199_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Park, Janice L.",skipped,skipped,skipped,4,1
11220_00000_976839_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Park, Janice L.",skipped,skipped,skipped,4,1
11220_00000_975396_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Park, Janice L.",skipped,skipped,skipped,4,1
11220_00000_782332_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Kaufman, James D.",skipped,skipped,skipped,4,1
11220_00000_782177_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Borbridge, Harold","Kaufman, James D.",skipped,skipped,4,1
11220_00000_782006_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Park, Janice L.",skipped,skipped,skipped,4,1
11220_00000_777890_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Park, Janice L.",skipped,skipped,skipped,4,1
11220_00000_777714_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Kaufman, James D.","Borbridge, Harold",Write-in,skipped,4,1
11220_00000_774823_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Kaufman, James D.",skipped,skipped,skipped,4,1
11220_00000_772858_,Ballot 12 - Type 12,Election Day,Judicial 3,Judicial,11-220 Hillside No. 4,11-220 Hillside No. 4,Region II,"Kaufman, James D.",skipped,skipped,skipped,4,1
