ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,Num cands,Num seats
37716_00001_000001,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
37716_00001_000008,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
37716_00001_000011,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
37716_00001_000004,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
37716_00001_000010,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
37716_00001_000009,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce","Deacon, Darren M.",skipped,3,1
37716_00001_000003,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
37716_00001_000002,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce","Deacon, Darren M.",skipped,3,1
37716_00001_000005,Ballot 40 - Type 40,Election Day,Judicial 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
92902_00000_921439_,Ballot 40 - Type 40,Early Voting,Judicial 3,Judicial,District 37 - Early Voting,House District 37 - Judicial District 3,Region II,"Edgmon, Bryce",skipped,skipped,3,1
92902_00000_334235_,Ballot 40 - Type 40,Early Voting,Judicial 3,Judicial,District 37 - Early Voting,House District 37 - Judicial District 3,Region II,"Edgmon, Bryce",skipped,skipped,3,1
92902_00000_968618_,Ballot 40 - Type 40,Early Voting,Judicial 3,Judicial,District 37 - Early Voting,House District 37 - Judicial District 3,Region II,"Edgmon, Bryce",skipped,skipped,3,1
92902_00000_217141_,Ballot 40 - Type 40,Early Voting,Judicial 3,Judicial,District 37 - Early Voting,House District 37 - Judicial District 3,Region II,"Edgmon, Bryce",skipped,skipped,3,1
92902_00000_901056_,Ballot 40 - Type 40,Early Voting,Judicial 3,Judicial,District 37 - Early Voting,House District 37 - Judicial District 3,Region II,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000047,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000046,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000026,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000019,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000013,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce","Deacon, Darren M.",skipped,3,1
94100_00013_000044,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000043,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000023,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.","Edgmon, Bryce",skipped,3,1
94100_00013_000020,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000002,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000039,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,Write-in,skipped,skipped,3,1
94100_00013_000021,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce","Deacon, Darren M.",Write-in,3,1
94100_00013_000004,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce","Deacon, Darren M.",skipped,3,1
94100_00013_000040,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000007,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000024,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000001,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000025,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000018,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000027,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000049,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000028,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000008,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce","Deacon, Darren M.",skipped,3,1
94100_00013_000050,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000029,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000009,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000052,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000030,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Deacon, Darren M.",skipped,skipped,3,1
94100_00013_000011,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
94100_00013_000051,Ballot 40 - Type 40,Absentee,Judicial 3,Judicial,District 37 - Absentee,House District 37 - Judicial District 3,Region IV,"Edgmon, Bryce",skipped,skipped,3,1
