ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,Num cands,Num seats
95500_00011_000008,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95500_00011_000001,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region V,"Wilson, David S.",skipped,skipped,skipped,4,1
95500_00011_000002,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region V,"Yundt, Robert","Wilson, David S.","Wright, Stephen",skipped,4,1
95500_00011_000004,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95500_00011_000007,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region V,"Wright, Stephen",skipped,skipped,skipped,4,1
95106_00004_000019,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000001,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Wilson, David S.",skipped,skipped,skipped,4,1
95106_00004_000006,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000009,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000002,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert","Wright, Stephen","Wilson, David S.",skipped,4,1
95106_00004_000007,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,Write-in,skipped,skipped,skipped,4,1
95106_00004_000018,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000016,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000017,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert","Wright, Stephen","Wilson, David S.",skipped,4,1
95106_00004_000010,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Wright, Stephen",skipped,skipped,skipped,4,1
95106_00004_000003,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000005,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
95106_00004_000008,Ballot 28 - Type 28,Absentee,Judicial 3,Judicial,District 27 - Absentee,District 27 - Absentee,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
92902_00000_118274_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Yundt, Robert",skipped,skipped,skipped,4,1
92902_00000_680129_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Yundt, Robert","Wilson, David S.","Wright, Stephen",skipped,4,1
92902_00000_830342_,Ballot 29 - Type 29,Early Voting,Judicial 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region II,"Wilson, David S.",skipped,skipped,skipped,4,1
92902_00000_307194_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Yundt, Robert","Wilson, David S.","Wright, Stephen",skipped,4,1
92902_00000_319478_,Ballot 29 - Type 29,Early Voting,Judicial 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region II,"Wilson, David S.",skipped,skipped,skipped,4,1
92902_00000_663470_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Wright, Stephen",skipped,skipped,skipped,4,1
92902_00000_660859_,Ballot 29 - Type 29,Early Voting,Judicial 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region II,"Wilson, David S.","Yundt, Robert","Wright, Stephen",skipped,4,1
92902_00000_262691_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Wright, Stephen",skipped,skipped,skipped,4,1
92902_00000_401742_,Ballot 28 - Type 28,Early Voting,Judicial 3,Judicial,District 27 - Early Voting,District 27 - Early Voting,Region II,"Yundt, Robert","Wright, Stephen","Wilson, David S.",skipped,4,1
92902_00000_878463_,Ballot 29 - Type 29,Early Voting,Judicial 3,Judicial,District 28 - Early Voting,District 28 - Early Voting,Region II,"Wilson, David S.",skipped,skipped,skipped,4,1
100027_00001_000001,Ballot 28 - Type 28,Election Day,Judicial 3,Judicial,27-415 Meadow Lakes No. 2,27-415 Meadow Lakes No. 2,Director,"Wilson, David S.","Yundt, Robert","Wright, Stephen",skipped,4,1
100027_00001_000002,Ballot 28 - Type 28,Election Day,Judicial 3,Judicial,27-415 Meadow Lakes No. 2,27-415 Meadow Lakes No. 2,Director,"Wilson, David S.","Yundt, Robert","Wright, Stephen",skipped,4,1
100027_00001_000003,Ballot 28 - Type 28,Election Day,Judicial 3,Judicial,27-415 Meadow Lakes No. 2,27-415 Meadow Lakes No. 2,Director,"Yundt, Robert","Wilson, David S.","Wright, Stephen",skipped,4,1
28465_00000_609153_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_608679_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_607132_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wright, Stephen","Yundt, Robert",skipped,skipped,4,1
28465_00000_605620_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wilson, David S.",skipped,skipped,skipped,4,1
28465_00000_601764_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wright, Stephen","Wilson, David S.","Yundt, Robert",skipped,4,1
28465_00000_599740_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_599572_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_599342_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wilson, David S.",skipped,skipped,skipped,4,1
28465_00000_458112_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert","Wright, Stephen","Wilson, David S.",skipped,4,1
28465_00000_458080_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,Write-in,skipped,skipped,skipped,4,1
28465_00000_457598_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wright, Stephen","Wilson, David S.","Yundt, Robert",skipped,4,1
28465_00000_456246_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert","Wright, Stephen","Wilson, David S.",skipped,4,1
28465_00000_454887_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_453503_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert","Wilson, David S.","Wright, Stephen",skipped,4,1
28465_00000_452945_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_452274_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_351132_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wright, Stephen",skipped,skipped,skipped,4,1
28465_00000_349764_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_348882_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Yundt, Robert",skipped,skipped,skipped,4,1
28465_00000_347238_,Ballot 29 - Type 29,Election Day,Judicial 3,Judicial,28-465 Seldon No. 2,28-465 Seldon No. 2,Region V,"Wright, Stephen",skipped,skipped,skipped,4,1
