ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,Num cands,Num seats
92200_00051_000096,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000095,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000056,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000055,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000019,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000092,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000091,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000043,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000024,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",Write-in,2,1
92200_00051_000100,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000099,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000059,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000040,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,Write-in,skipped,2,1
92200_00051_000001,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000094,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000039,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000022,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",Write-in,2,1
92200_00051_000097,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000065,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000042,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000007,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000078,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000077,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000025,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000009,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000076,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000075,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000026,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000014,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000068,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000041,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,Write-in,skipped,2,1
92200_00051_000027,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000018,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000070,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000069,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000048,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000004,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000049,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000029,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000017,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000080,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000079,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000050,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000030,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000086,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000052,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000015,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000032,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000011,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,Write-in,skipped,2,1
92200_00051_000082,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000081,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000033,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000002,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000088,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
92200_00051_000087,Ballot 25 - Type 25,Absentee,Judicial 3,Judicial,District 24 - Absentee,District 24 - Absentee,Region II,"Saddler, Dan",skipped,2,1
